GO:0000002	5,19,1107,10192
GO:0001504	19,243,705,815,2885,6572,
GO:0001505	19,109,
GO:0002791	
GO:0003008	19,
GO:0006091	19,
GO:0006112	19,252,
GO:0006810	19,
GO:0006811	19,
GO:0006820	19,20,22,100,139,144,525,560,
GO:0006836	19,73,307,
GO:0006862	19,21,1161,2251,3371,
GO:0006863	44,355,1204,
GO:0006865	19,73,
GO:0006996	
GO:0007005	19,53,486,1068,
GO:0007154	19,
GO:0007267	19,43,
GO:0007268	19,
GO:0008150	19,
GO:0008152	19,21,
GO:0009987	19,
GO:0010646	19,
GO:0010939	19,3242,
GO:0010941	19,113,142,245,355,
GO:0015711	301,780,
GO:0015800	19,79,183,1469,1779,3464,
GO:0015807	19,601,648,1609,5824,
GO:0015813	19,21,358,898,
GO:0015837	19,
GO:0015849	98,1245,
GO:0015851	19,252,725,
GO:0015853	19,540,1094,2052,7968,
GO:0015865	19,109,227,2564,9075,
GO:0015866	19,49,54,112,1399,1520,3752,4890,6991,
GO:0015867	638,793,4653,
GO:0015868	19,69,110,127,8219,
GO:0015931	19,20,142,
GO:0015980	19,124,310,533,
GO:0016032	19,103,325,
GO:0016043	19,
GO:0019226	19,
GO:0023051	19,
GO:0023052	19,
GO:0032501	19,
GO:0032879	19,
GO:0035637	19,
GO:0043090	19,307,355,486,831,2098,5825,
GO:0043092	19,56,619,
GO:0044237	19,
GO:0044419	21,73,197,
GO:0046883	56,70,618,
GO:0046942	19,127,197,307,
GO:0048519	19,56,
GO:0048523	19,
GO:0050789	19,
GO:0050794	19,
GO:0050796	19,21,111,1880,
GO:0050877	19,20,
GO:0051046	19,21,247,1192,1542,
GO:0051049	19,74,193,
GO:0051179	19,49,
GO:0051234	19,
GO:0051503	19,387,1421,1530,1744,3682,7702,8347,
GO:0051704	19,307,
GO:0051933	7,73,292,
GO:0051935	19,942,1503,1524,1936,5195,6548,7644,
GO:0051938	19,77,677,919,1408,1593,3461,4116,6232,
GO:0055085	19,
GO:0055114	19,
GO:0060341	19,193,233,
GO:0060547	19,1352,1397,1513,2275,6185,6672,7460,
GO:0060548	19,107,110,149,
GO:0065007	19,
GO:0065008	
GO:0071702	19,
GO:0071705	73,467,
GO:0071840	19,
GO:0071841	19,
GO:0071842	19,
GO:0072530	19,21,22,214,266,1131,
GO:0090087	19,1136,1544,
GO:0090276	19,20,178,213,266,516,627,2442,2888,
GO:0001525	19,325,1101,2322,
GO:0001568	145,169,869,
GO:0001944	19,1021,
GO:0006139	19,
GO:0006206	19,173,358,677,1430,3156,
GO:0006213	55,158,1884,2705,
GO:0006220	19,53,1544,
GO:0006259	141,
GO:0006260	19,1229,
GO:0006725	19,233,449,
GO:0006753	248,
GO:0006807	19,
GO:0006935	19,56,
GO:0007275	19,
GO:0008655	19,2037,2120,
GO:0009056	19,
GO:0009058	19,
GO:0009059	19,
GO:0009112	1131,
GO:0009116	19,54,685,1428,
GO:0009117	19,278,
GO:0009163	19,20,191,443,856,1508,
GO:0009164	19,182,
GO:0009605	19,
GO:0009653	19,127,
GO:0018130	19,178,299,
GO:0030154	19,96,
GO:0032502	19,
GO:0034404	19,205,401,
GO:0034641	19,
GO:0034645	19,154,
GO:0034654	19,53,127,1228,
GO:0034655	19,358,
GO:0034656	19,124,149,685,1067,
GO:0040011	19,
GO:0042221	19,
GO:0042330	19,110,
GO:0043094	19,920,939,2292,
GO:0043097	19,338,1776,
GO:0043170	19,21,
GO:0043174	827,1425,
GO:0044238	19,
GO:0044248	19,191,
GO:0044249	19,
GO:0044260	19,
GO:0044270	19,152,278,347,
GO:0044271	19,21,112,244,249,
GO:0044281	19,20,
GO:0044282	19,110,
GO:0044283	19,
GO:0046134	19,1028,
GO:0046135	14,19,184,1104,1200,
GO:0046483	19,99,
GO:0046700	19,21,213,
GO:0048514	19,109,122,325,2249,
GO:0048646	
GO:0048731	19,
GO:0048856	19,
GO:0048869	
GO:0050896	
GO:0055086	19,
GO:0072358	19,358,
GO:0072359	308,
GO:0072527	19,1250,1329,2960,
GO:0072528	19,193,709,2004,
GO:0072529	19,231,291,
GO:0090304	19,
GO:0001666	19,78,191,390,845,
GO:0006461	14,19,140,705,
GO:0006508	19,110,
GO:0006515	19,40,183,197,2312,3800,4347,7595,
GO:0006950	19,
GO:0006979	19,
GO:0009057	19,
GO:0019538	19,
GO:0019941	19,
GO:0022607	19,
GO:0030163	19,55,73,266,
GO:0032042	19,170,2514,
GO:0033554	19,118,
GO:0034599	19,53,595,894,2501,
GO:0034619	19,55,205,2620,3285,4142,
GO:0034621	19,141,
GO:0034622	19,56,321,
GO:0043623	4,19,
GO:0043632	19,157,308,844,
GO:0043933	19,642,
GO:0044085	19,42,55,
GO:0044257	19,21,122,1098,
GO:0044265	19,56,401,
GO:0044267	19,
GO:0051131	392,475,605,2634,2921,3036,3235,
GO:0051259	19,130,
GO:0051260	19,634,709,2884,
GO:0051603	19,313,941,
GO:0051716	19,
GO:0065003	19,20,
GO:0070271	19,109,
GO:0070407	19,78,193,646,962,5045,7718,
GO:0070482	224,358,741,
GO:0070887	19,329,
GO:0071822	19,154,
GO:0071844	19,245,
GO:0000302	19,193,
GO:0001655	77,937,
GO:0001822	193,358,1429,
GO:0007423	19,21,124,
GO:0010035	19,193,
GO:0019222	19,
GO:0030198	19,256,829,
GO:0031323	19,
GO:0032835	19,1303,
GO:0032836	19,30,56,139,1665,2420,5632,5732,7559,
GO:0034614	19,118,178,958,1301,
GO:0042592	19,54,
GO:0043062	19,594,
GO:0043583	19,615,705,
GO:0048513	
GO:0048839	19,278,1573,2249,
GO:0072001	19,110,603,
GO:0072006	19,1617,
GO:2000377	19,679,1182,1865,
GO:0000122	19,165,
GO:0000165	19,55,131,363,519,
GO:0000902	19,
GO:0000904	19,
GO:0002218	19,142,178,360,388,
GO:0002221	56,212,363,2726,
GO:0002224	19,1397,
GO:0002253	193,
GO:0002376	19,
GO:0002682	19,223,
GO:0002684	19,307,
GO:0002755	19,253,
GO:0002756	19,127,845,
GO:0002757	100,231,253,266,599,
GO:0002758	19,252,481,485,640,891,
GO:0002764	19,514,640,
GO:0003013	19,73,142,363,
GO:0003015	19,73,1184,
GO:0006351	19,
GO:0006355	19,73,142,
GO:0006357	19,
GO:0006366	19,90,684,
GO:0006915	
GO:0006937	19,73,117,405,642,
GO:0006942	56,315,1192,4444,
GO:0006952	19,77,
GO:0006955	19,
GO:0007010	19,
GO:0007165	19,
GO:0007166	19,
GO:0007167	19,122,308,870,
GO:0007169	19,79,
GO:0007243	19,21,124,
GO:0007399	19,55,252,
GO:0007507	
GO:0007517	413,640,
GO:0008016	19,347,1821,
GO:0008063	19,70,
GO:0008219	
GO:0009888	19,
GO:0009889	19,21,
GO:0009890	56,61,358,
GO:0009891	20,233,
GO:0009892	19,
GO:0009893	19,21,325,
GO:0010038	19,
GO:0010467	19,
GO:0010468	19,
GO:0010556	19,44,
GO:0010557	
GO:0010558	19,74,96,122,178,
GO:0010604	19,139,
GO:0010605	19,
GO:0010628	19,
GO:0010629	19,178,347,
GO:0010927	55,331,347,401,
GO:0012501	19,233,
GO:0014706	16,19,635,
GO:0016070	19,
GO:0016265	16,19,
GO:0016358	19,49,283,363,
GO:0019219	19,
GO:0022008	19,423,
GO:0030029	49,
GO:0030030	19,650,
GO:0030036	19,21,
GO:0030182	19,157,263,387,
GO:0030239	19,61,110,270,1620,
GO:0031032	19,335,1137,1544,
GO:0031098	19,73,955,
GO:0031175	7,19,55,
GO:0031324	7,19,99,
GO:0031325	19,43,55,56,
GO:0031326	19,
GO:0031327	19,94,
GO:0031328	19,
GO:0031347	16,19,21,
GO:0031349	19,
GO:0032774	19,40,200,
GO:0032989	19,126,159,
GO:0032990	19,329,
GO:0034130	19,
GO:0034134	19,96,307,2375,
GO:0034138	19,254,266,614,813,865,1093,
GO:0034142	19,191,253,266,282,363,
GO:0035051	13,19,844,
GO:0035556	19,21,
GO:0042692	19,326,
GO:0044057	40,53,442,981,
GO:0045087	19,40,252,
GO:0045088	19,261,955,
GO:0045089	19,60,68,94,214,309,1148,
GO:0045595	19,
GO:0045597	19,96,
GO:0045892	19,
GO:0045893	278,
GO:0045934	19,141,
GO:0045935	19,
GO:0045944	19,45,278,
GO:0048011	19,94,572,715,
GO:0048311	19,99,193,646,1000,1096,1761,1845,
GO:0048468	
GO:0048518	19,21,
GO:0048522	19,122,
GO:0048583	19,49,
GO:0048584	
GO:0048666	19,
GO:0048667	19,
GO:0048699	19,191,
GO:0048738	19,55,73,243,278,
GO:0048812	19,54,130,253,
GO:0048813	19,2641,5735,
GO:0048858	264,
GO:0050776	19,277,335,
GO:0050778	19,64,179,
GO:0050793	19,77,
GO:0051094	19,162,
GO:0051146	19,
GO:0051147	19,20,149,881,2260,
GO:0051149	19,29,253,327,450,679,
GO:0051171	19,
GO:0051172	19,
GO:0051173	19,
GO:0051239	19,55,157,
GO:0051252	19,55,
GO:0051253	19,73,246,
GO:0051254	19,124,
GO:0051403	19,56,3063,
GO:0051592	19,131,1536,2293,
GO:0051640	19,94,
GO:0051641	19,
GO:0051646	110,269,358,
GO:0055001	19,56,251,275,
GO:0055002	19,
GO:0055003	19,20,105,266,325,330,812,991,3378,
GO:0055005	6,19,1780,6048,8009,
GO:0055006	19,982,2356,3215,
GO:0055007	585,696,5572,
GO:0055012	19,74,252,253,486,4243,
GO:0055013	19,1601,2553,
GO:0055015	19,142,363,2106,
GO:0055117	270,754,
GO:0060255	19,73,
GO:0060537	19,86,
GO:0061061	44,
GO:0061337	19,56,412,619,877,1119,2288,3991,5037,6221,6451,
GO:0070375	19,21,193,287,308,309,3894,5030,8512,
GO:0071241	19,22,1188,1605,
GO:0071248	19,56,124,162,1837,2064,2733,
GO:0071277	19,45,191,1601,1651,
GO:0080090	19,
GO:0080134	19,21,54,157,
GO:0090257	19,169,1134,1188,
GO:2000112	19,347,
GO:2000113	19,
GO:0000003	40,
GO:0005975	19,73,
GO:0006457	19,307,335,
GO:0006464	19,
GO:0006486	19,
GO:0006487	19,56,
GO:0006488	19,4255,
GO:0006497	
GO:0006505	19,390,
GO:0006506	55,252,778,1523,1969,2557,
GO:0006629	19,20,21,
GO:0006644	19,109,151,300,469,1055,
GO:0006650	19,142,
GO:0006661	19,30,132,2393,2740,
GO:0008610	
GO:0008654	19,40,278,1605,1687,
GO:0009100	19,208,
GO:0009101	19,99,100,1715,
GO:0009311	19,118,
GO:0009312	112,190,742,
GO:0016051	19,55,56,90,180,281,1097,
GO:0018193	19,20,21,
GO:0018196	627,1517,
GO:0018279	142,
GO:0019637	19,1134,
GO:0042157	19,299,
GO:0042158	19,118,140,2247,3988,
GO:0043412	19,124,
GO:0043413	19,127,
GO:0043687	19,355,626,
GO:0044255	19,703,1097,
GO:0044262	4,19,
GO:0045017	19,21,191,
GO:0046474	19,347,740,1366,
GO:0046486	19,144,325,
GO:0046488	178,363,395,
GO:0070085	19,61,
GO:0000012	16,19,110,113,137,2159,2169,2775,2932,3246,3461,
GO:0006281	19,542,
GO:0006284	19,79,3378,
GO:0006974	19,
GO:0010033	19,139,
GO:0042493	19,2624,
GO:0003006	19,79,112,325,1112,
GO:0006325	648,
GO:0006333	968,2170,
GO:0006337	19,249,915,1664,6532,
GO:0006338	19,22,
GO:0006342	19,
GO:0006928	19,55,126,
GO:0006997	77,160,822,930,1113,1543,
GO:0007276	19,
GO:0007281	19,127,252,
GO:0007283	19,
GO:0007286	19,
GO:0007289	19,178,1996,2193,6184,
GO:0007290	19,135,1553,4490,9812,
GO:0007338	19,
GO:0009566	19,22,1114,
GO:0016458	19,73,
GO:0016568	19,636,
GO:0019953	19,118,124,308,
GO:0022411	19,
GO:0022414	19,73,
GO:0030317	19,3727,
GO:0031498	19,224,1204,2722,4352,
GO:0032504	19,55,73,
GO:0032984	19,
GO:0032986	19,276,1486,2297,2634,2661,
GO:0034623	55,742,
GO:0034728	173,
GO:0035039	19,293,549,1712,4163,4638,6782,9423,
GO:0035041	88,300,386,708,2205,8814,
GO:0035042	19,255,661,1775,5665,6118,
GO:0040029	19,409,1131,1563,2297,
GO:0043044	19,358,1188,1245,1560,1761,
GO:0043486	19,355,1871,2165,2217,
GO:0045814	19,52,882,
GO:0048232	19,
GO:0048515	19,21,866,
GO:0048609	19,238,
GO:0048610	19,
GO:0048870	19,124,
GO:0051276	19,124,
GO:0051674	
GO:0070925	19,79,1468,
GO:0071824	19,178,328,
GO:0071845	19,95,261,387,1063,
GO:0000726	19,73,266,502,1098,2605,3687,
GO:0001701	19,213,
GO:0001775	19,21,310,
GO:0002200	19,191,440,529,2258,2482,
GO:0002204	19,124,173,2162,
GO:0002208	19,55,285,2293,4928,
GO:0002244	19,373,1027,1735,5545,
GO:0002250	19,43,1089,
GO:0002252	19,193,251,
GO:0002263	19,24,
GO:0002285	19,20,74,191,
GO:0002312	124,232,355,420,1652,1781,
GO:0002320	19,105,577,667,1103,3175,
GO:0002328	19,127,138,717,1097,1878,3558,6360,8038,9015,
GO:0002366	19,178,661,760,893,903,
GO:0002377	132,
GO:0002381	19,171,236,255,720,1307,
GO:0002440	19,2050,
GO:0002443	19,179,
GO:0002449	19,583,974,
GO:0002460	19,78,173,955,
GO:0002520	19,126,320,
GO:0002521	19,127,1008,
GO:0002562	19,495,841,
GO:0002568	19,142,5478,
GO:0002681	19,1274,1511,
GO:0006266	21,131,194,266,313,349,539,1324,2699,5318,
GO:0006289	19,62,124,282,685,863,
GO:0006297	19,536,3106,
GO:0006302	19,447,1188,1240,1328,
GO:0006303	19,124,1440,2252,3806,
GO:0006310	19,77,118,175,361,
GO:0007049	19,62,86,
GO:0007417	19,20,
GO:0008283	19,
GO:0008284	19,125,185,276,
GO:0009314	19,142,254,637,
GO:0009628	19,124,
GO:0009790	19,56,62,
GO:0009792	19,73,207,233,
GO:0010165	7,19,117,231,325,
GO:0010212	19,109,152,256,1536,
GO:0010226	54,73,78,178,
GO:0010332	19,58,231,373,2183,
GO:0010720	19,79,
GO:0015074	19,89,349,
GO:0016064	19,128,
